exit_code: 0

stdout:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         271  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         272  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         273  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         274  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         275  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         277  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         278  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         279  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         280  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         281  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         283  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         284  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         285  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         286  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         287  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         289  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         290  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         291  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         292  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         293  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         295  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         296  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         297  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         298  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         299  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         301  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         302  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         303  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         304  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         305  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         307  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         308  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         309  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         310  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         311  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         313  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         314  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [rcu_ex
root         315  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         316  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         317  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         318  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         320  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         321  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         322  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
